categorias_id;nombre;descripcion
1;Arquitectura;Estudio y diseño de edificios, espacios y estructuras que combinan estética, funcionalidad y técnica.
2;Formación artística;Procesos educativos que desarrollan habilidades creativas en pintura, música, danza y otras artes.
3;Historia del arte;Análisis de la evolución de las expresiones artísticas a lo largo de las culturas y épocas.
4;Danza;Arte del movimiento corporal rítmico que expresa emociones, tradiciones y narrativas culturales.
5;Diseño;Disciplina creativa que busca soluciones visuales y funcionales para productos, espacios y comunicación.
6;Moda;Expresión cultural y estética a través de prendas, estilos y tendencias que evolucionan con el tiempo.
7;Cine;Arte audiovisual que combina imagen y sonido para narrar historias y transmitir emociones.
8;Diseño gráfico;Creación visual de mensajes mediante tipografía, color e imágenes para comunicar ideas.
9;Música;Expresión artística basada en sonidos organizados que transmiten emociones y cultura.
10;Teoría de la música;Estudio de los elementos musicales como ritmo, armonía y melodía para comprender su estructura.
11;Pintura;Arte de representar ideas y emociones mediante pigmentos aplicados sobre superficies.
12;Fotografía;Captura de imágenes mediante luz para documentar, expresar y comunicar visualmente.
13;Osos;Libros y estudios sobre la vida, hábitat y simbolismo cultural de los osos.
14;Gatos;Obras dedicadas a la historia, cuidado y representación cultural de los gatos.
15;Gatitos;Textos y guías sobre cría, cuidado y curiosidades de los gatos jóvenes.
16;Perros;Libros sobre razas, entrenamiento, historia y vínculo humano con los perros.
17;Cachorros;Guías y relatos sobre el crecimiento, cuidado y entrenamiento de perros jóvenes.
18;Fantasía;Narrativas imaginarias con mundos mágicos, criaturas fantásticas y aventuras épicas.
19;Ficción histórica;Relatos que mezclan hechos históricos con personajes y tramas ficticias.
20;Terror;Historias que buscan provocar miedo y tensión mediante lo sobrenatural o psicológico.
21;Humor;Obras que utilizan la comedia y la sátira para entretener y reflexionar.
22;Literatura;Conjunto de obras escritas que transmiten ideas, emociones y cultura.
23;Magia;Textos y relatos sobre prácticas, mitos y mundos donde lo sobrenatural es posible.
24;Misterio e historias de dectectives;Narrativas centradas en enigmas, crímenes y la búsqueda de la verdad.
25;Obras de teatro;Textos dramáticos creados para ser representados en escena ante un público.
26;Poesía;Expresión literaria que utiliza ritmo, metáforas y lenguaje artístico para transmitir emociones.
27;Romántica;Relatos centrados en el amor, las relaciones y las emociones humanas.
28;Ciencia ficción;Narrativas que exploran futuros posibles, tecnología avanzada y mundos alternativos.
29;Historias cortas;Relatos breves que condensan ideas, emociones o situaciones en pocas páginas.
30;Suspense;Obras que generan tensión y expectativa mediante intriga y giros narrativos.
31;Juvenil;Literatura dirigida a adolescentes, con temas de crecimiento, aventura y descubrimiento.
32;Biología;Estudio de los seres vivos, su estructura, funciones y evolución.
33;Química;Ciencia que analiza la composición y transformación de la materia.
34;Matemáticas;Disciplina que estudia números, formas, patrones y relaciones abstractas.
35;Física;Ciencia que explica las leyes del universo, la energía y el movimiento.
36;Programación;Creación de software mediante lenguajes que instruyen a las computadoras.
37;Gestión;Prácticas y teorías para administrar recursos, personas y proyectos de manera eficiente.
38;Emprendimiento;Iniciativas para crear negocios innovadores y sostenibles desde cero.
39;Economía empresarial;Estudio de la producción, distribución y consumo en el ámbito corporativo.
40;Éxito empresarial;Textos sobre estrategias y casos de crecimiento y consolidación de empresas.
41;Finanzas;Gestión del dinero, inversiones y recursos económicos en individuos y organizaciones.
42;Libros para niños;Obras diseñadas para entretener y educar a los más pequeños.
43;Cuentos en rima;Narrativas infantiles que utilizan ritmo y rima para facilitar la lectura.
44;Libros de bebés;Textos simples y visuales pensados para la estimulación temprana.
45;Libros para dormir;Relatos suaves y breves que ayudan a los niños a relajarse antes de dormir.
46;Libros ilustrados;Obras que combinan texto e imágenes para enriquecer la experiencia lectora.
47;Edad Antigua;Estudios y relatos sobre civilizaciones y culturas de la antigüedad.
48;Arqueología;Investigación de restos materiales para comprender sociedades pasadas.
49;Antropología;Estudio de las culturas, costumbres y evolución del ser humano.
50;Cocina;Recetas y técnicas culinarias que reflejan tradiciones y creatividad gastronómica.
51;Recetarios;Colecciones de recetas organizadas por ingredientes, técnicas o culturas.
52;Salud mental;Textos sobre bienestar psicológico, emociones y cuidado de la mente.
53;Ejercicio;Guías y estudios sobre actividad física para mejorar salud y rendimiento.
54;Nutrición;Obras sobre alimentación equilibrada y su impacto en la salud.
55;Autoayuda;Textos que ofrecen consejos para el desarrollo personal y emocional.
56;Autobiografías;Relatos en primera persona sobre la vida y experiencias de los autores.
57;Religión;Estudio y reflexión sobre creencias, prácticas y tradiciones espirituales.
58;Ciencia política;Análisis de sistemas de gobierno, poder y relaciones sociales.
59;Psicología;Estudio de la mente, el comportamiento y las emociones humanas.
60;Brasil;Obras sobre la historia, cultura y sociedad de Brasil.
61;India;Textos sobre la tradición, historia y diversidad cultural de India.
62;Indonesia;Estudios sobre la cultura, historia y sociedad de Indonesia.
63;Estados Unidos;Obras sobre la historia, política y cultura de Estados Unidos.
